SAMPLE,Depth,K_field,Klf,Mass,Khf,Kfd_abs,Kfd,Fe,horizon,Bulk_density,copeky_depth,Humus,pH_eau,CEC,Clay,Silt,Sand,WC,field_realperm,field_imperm,field_temp,EC1_5
P110,110,0.000026,0.000046,15.8,0.000043,0.00000287,6.288343558,5809,E3,1.649,110,0.276,5.700,1.600,7.897,45.126,46.977,26.05,14.3,3.6,21.5,0.00292
P122,122,0.000026,0.000054,16.63,0.000052,0.00000156,2.891030393,10557,Bs3,1.65,123,0.116,6.090,2.975,10.750,16.311,72.939,23,18.1,7.3,21.7,0.00286
P144,144,0.000033,0.000058,15.45,0.000056,0.00000259,4.447115385,12173,C3,1.77,144,0.016,5.900,2.405,7.734,12.522,79.744,26.1,13.8,3.9,22.6,0.00271
S28,28,1.98E-04,7.26E-04,15.9,0.000702,2.38E-05,3.278236915,7076,Ap,1.513035848,28,1.982,6.890,4.679,7.481,9.725,82.795,21.33,14.1,4.6,31.1,0.00611
S48,48,0.000131,0.000236,15.46,0.000220,0.0000159,6.728734659,5484,Bt,1.754833973,48,1.366,7.130,4.107,6.651,8.868,84.481,27.34,16.4,7.7,29.6,0.00921
S64,64,0.000041,0.000063,14.99,0.000060,3.38E-06,5.328708813,16020,Bijzer,1.707957203,64,0.268,7.170,3.788,5.083,3.994,90.924,24.24,16.7,10.9,28.6,0.00875
S110,110,0.000030,0.000047,15.02,0.000042,0.00000429,9.211939017,6623,BC,1.699551696,111,0.034,7.100,2.419,6.120,1.080,92.801,33.33,18.3,10.3,25.4,0.00846
S130,130,0.000037,0.000029,15.33,0.000026,0.00000248,8.572416177,3610.89,C,1.635220602,130,-0.016,7.220,2.262,5.694,1.068,93.238,33.54,24.7,14.2,24.2,0.0131
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
